document_id,clean_text,sentiment
doc_001,"In the era of burgeoning electric vehicle (EV) popularity, understanding the patterns of EV users behavior is imperative. This paper examines the trends in household charging sessions timing, duration, and energy consumption by analyzing real-world residential charging data. By leveraging the information collected from each session, a novel framework is introduced for the efficient, real-time prediction of important charging characteristics. Utilizing historical data and user-specific features, machine learning models are trained to predict the connection duration, charging duration, charging demand, and time until the next session. These models enhance the understanding of EV users behavior and provide practical tools for optimizing the EV charging infrastructure and effectively managing the charging demand. As the transportation sector becomes increasingly electrified, this work aims to empower stakeholders with insights and reliable models, enabling them to anticipate the localized demand and contribute to the sustainable integration of electric vehicles into the grid.",positive
doc_002,"Background Meditation apps have surged in popularity in recent years, with an increasing number of individuals turning to these apps to cope with stress, including during the COVID-19 pandemic. Meditation apps are the most commonly used mental health apps for depression and anxiety. However, little is known about who is well suited to these apps. Objective This study aimed to develop and test a data-driven algorithm to predict which individuals are most likely to benefit from app-based meditation training. Methods Using randomized controlled trial data comparing a 4-week meditation app (Healthy Minds Program [HMP]) with an assessment-only control condition in school system employees (n=662), we developed an algorithm to predict who is most likely to benefit from HMP. Baseline clinical and demographic characteristics were submitted to a machine learning model to develop a Personalized Advantage Index (PAI) reflecting an individual s expected reduction in distress (primary outcome) from HMP versus control. Results A significant group PAI interaction emerged (t658=3.30; P=.001), indicating that PAI scores moderated group differences in outcomes. A regression model that included repetitive negative thinking as the sole baseline predictor performed comparably well. Finally, we demonstrate the translation of a predictive model into personalized recommendations of expected benefit. Conclusions Overall, the results revealed the potential of a data-driven algorithm to inform which individuals are most likely to benefit from a meditation app. Such an algorithm could be used to objectively communicate expected benefits to individuals, allowing them to make more informed decisions about whether a meditation app is appropriate for them. Trial Registration ClinicalTrials.gov NCT04426318; https://clinicaltrials.gov/ct2/show/NCT04426318",neutral
doc_003,"Background Humans must be able to cope with the huge amounts of information produced by the information technology revolution. As a result, automatic text summarization is being employed in a range of industries to assist individuals in identifying the most important information. For text summarization, two approaches are mainly considered: text summarization by the extractive and abstractive methods. The extractive summarisation approach selects chunks of sentences like source documents, while the abstractive approach can generate a summary based on mined keywords. For low-resourced languages, e.g., Urdu, extractive summarization uses various models and algorithms. However, the study of abstractive summarization in Urdu is still a challenging task. Because there are so many literary works in Urdu, producing abstractive summaries demands extensive research. Methodology This article proposed a deep learning model for the Urdu language by using the Urdu 1 Million news dataset and compared its performance with the two widely used methods based on machine learning, such as support vector machine (SVM) and logistic regression (LR). The results show that the suggested deep learning model performs better than the other two approaches. The summaries produced by extractive summaries are processed using the encoder-decoder paradigm to create an abstractive summary. Results With the help of Urdu language specialists, the system-generated summaries were validated, showing the proposed model s improvement and accuracy.",positive
doc_004,"The growing number of cloud-based services has led to a rising threat of Distributed Denial of Service (DDoS) attacks. These attacks can cause significant harm to businesses and organizations by overwhelming their network resources, resulting in the unavailability of critical services. The traditional defense mechanisms, such as firewalls systems, are becoming insufficient to cope with the scale and complexity of DDoS attacks. In this research, we propose a new machine learning approach based on ensemble learning to detect DDoS attacks in cloud environments. The proposed method utilizes various features extracted from network traffic to train machine learning algorithms. The proposed solution is expected to be effective in detecting DDoS attacks in real-time with high accuracy.",positive
doc_005,"Diffusion generative models, a class of machine learning techniques, have shown remarkable promise in materials science and chemistry by enabling the precise generation of complex molecular structures. In this article, we propose a novel application of diffusion generative models for stabilizing reactive molecular structures identified through quantum mechanical screening. Specifically, we focus on the design challenge presented by singlet fission (SF), a phenomenon crucial for advancing solar cell efficiency beyond theoretical limits. While theoretical chemistry has been successful in predicting intermolecular arrangements with enhanced SF coupling, the practical implementation of these configurations faces challenges due to discrepancies between favorable and stabilized structures. To address this gap, we introduce a three-step strategy combining quantum mechanical screening for identifying optimal molecular arrangements and diffusion generative models for predicting stabilizing linkers. Through a case study of cibalackrot dimers, a promising SF material, we demonstrate the efficacy of our approach in enhancing SF efficiency by stabilizing the desired molecular arrangements.",positive
doc_006,"The traditional machine learning model cannot effectively identify the new network traffic data set, resulting in the model failure. Therefore, in this paper, by analyzing the problems of current network intrusion detection (NID) and combining the application of transfer theory in the detection model, a NID model based on transfer component analysis (TCA) is proposed. Among them, the specific mathematical derivation of the algorithm and the detection process of transfer model are introduced in detail. Then, the classification performance of KNN and SVM based on TCA algorithm for network abnormal traffic is compared. The results show that the TCA algorithm proposed in this paper can effectively improve the accuracy of NID, which is meaningful to expand the application scope of network abnormal traffic detection scheme based on machine learning.",positive
doc_007,"In tropical and subtropical areas, malaria stands as a profound public health challenge, causing an estimated 247 million cases worldwide annually. Given the absence of a viable vaccine, the timely and effective treatment of malaria remains a critical priority. However, the growing resistance of parasites to currently utilized drugs underscores the critical need for the identification of new antimalarial therapies. Here, we aimed to identify potential new drug candidates against Plasmodium falciparum, the main causative agent of malaria, by analyzing the transcriptomes of different life stages of the parasite and identifying highly expressed genes. We searched for genes that were expressed in all stages of the parasite s life cycle, including the asexual blood stage, gametocyte stage, liver stage, and sexual stages in the insect vector, using transcriptomics data from publicly available databases. From this analysis, we found 674 overlapping genes, including 409 essential ones. By searching through drug target databases, we discovered 70 potential drug targets and 75 associated bioactive compounds. We sought to expand this analysis to similar compounds to known drugs. So, we found a list of 1557 similar compounds, which we predicted as actives and inactives using previously developed machine learning models against five life stages of Plasmodium spp. From this analysis, two compounds were selected, and the reactions were experimentally evaluated. The compounds HSP-990 and silvestrol aglycone showed potent inhibitory activity at nanomolar concentrations against the P. falciparum 3D7 strain asexual blood stage. Moreover, silvestrol aglycone exhibited low cytotoxicity in mammalian cells, transmission-blocking potential, and inhibitory activity comparable to those of established antimalarials. These findings warrant further investigation of silvestrol aglycone as a potential dual-acting antimalarial and transmission-blocking candidate for malaria control.",positive
doc_008,"Artificial Intelligence (AI) has evolved from a computational tool into a transformative force reshaping every branch of engineering. This review paper explores the depth and breadth of AI integration across major engineering disciplines including Mechanical, Electrical, Electronics, Computer Science, Civil, Chemical, Aerospace, Biomedical, and Industrial Engineering. By analysing recent advances in machine learning, deep learning, computer vision, natural language processing, and intelligent automation, the paper highlights how AI enhances design optimization, predictive maintenance, smart manufacturing, structural health monitoring, energy management, autonomous systems, process control, and human machine collaboration. The study also examines domain-specific applications such as digital twins, Industry 4.0, AI-driven materials discovery, intelligent transportation, personalized healthcare systems, and sustainable infrastructure development. Furthermore, the paper discusses emerging challenges involving data quality, interoperability, ethics, and the need for interdisciplinary skill development. This comprehensive review demonstrates that AI is not merely an add-on technology but a foundational enabler driving innovation, efficiency, and intelligent decision-making across all engineering fields, shaping the future of global technological advancement.",positive
doc_009,"Recognition of student's behaviour in class based on video has a significant impact on both teacher quality and student attention. Previously, student behaviour recognition focused only on single students with low performance and efficiency. This study proposes a system for detecting student behaviour and attention in the classroom using computer vision and machine learning techniques and it uses a webcam to capture video of the students and analyse their facial expressions and eye movements to determine whether they are paying attention or not. This can also detect the emotions of students. The final output of our proposed system is, it can detect different kinds of student behaviours in classrooms, such as attention in class, drowsiness, emotion of students and finally provide the rating for staff.",positive
doc_010,"Historically, much of machine learning research has focused on the performance of the algorithm alone, but recently more attention has been focused on optimizing joint human-algorithm performance. Here, we analyze a specific type of human-algorithm collaboration where the algorithm has access to a set of n items, and presents a subset of size k to the human, who selects a final item from among those k. This scenario could model content recommendation, route planning, or any type of labeling task. Because both the human and algorithm have imperfect, noisy information about the true ordering of items, the key question is: which value of k maximizes the probability that the best item will be ultimately selected? For k=1, performance is optimized by the algorithm acting alone, and for k=n it is optimized by the human acting alone. Surprisingly, we show that for multiple of noise models, it is optimal to set k in [2, n-1] - that is, there are strict benefits to collaborating, even when the human and algorithm have equal accuracy separately. We demonstrate this theoretically for the Mallows model and experimentally for the Random Utilities models of noisy permutations. However, we show this pattern is *reversed* when the human is anchored on the algorithm's presented ordering - the joint system always has strictly worse performance. We extend these results to the case where the human and algorithm differ in their accuracy levels, showing that there always exist regimes where a more accurate agent would strictly benefit from collaborating with a less accurate one, but these regimes are asymmetric between the human and the algorithm's accuracy.",neutral
